config_name,seed,revisit_similarity,same_macro_distant_similarity,different_macro_similarity,nuisance_sensitivity
v9_baseline,0,0.7815365280419428,0.7815365280419428,-0.03155782040454794,
v9_baseline,1,0.7694819150868949,0.7694819150868949,-0.019875209880236406,
v9_baseline,2,0.7373733052619593,0.7373733052619593,-0.0746616857912634,
v9_baseline,3,0.7839252072869838,0.7839252072869838,0.003557983576526832,
v9_baseline,4,0.8325318497803685,0.8325318497803685,-0.02784200210046382,
temp_003,0,0.3764012851561667,0.3764012851561667,0.006688420617177648,0.4968007405598958
temp_003,1,0.31437510900005927,0.31437510900005927,-0.014976114699475962,0.480438232421875
temp_003,2,0.1229345878269506,0.1229345878269506,-0.04086145558282423,0.4662068684895833
temp_003,3,0.18655975979453507,0.18655975979453507,0.0002421078020167017,0.4857686360677083
temp_003,4,0.42838278709898264,0.42838278709898264,-0.030531216224073128,0.4735056559244792
temp_001,0,0.37619357036389994,0.37619357036389994,0.006698995287211129,0.4967753092447917
temp_001,1,0.31416992869311094,0.31416992869311094,-0.01497520062665488,0.4804178873697917
temp_001,2,0.12251726331960877,0.12251726331960877,-0.04086547583350034,0.4662373860677083
temp_001,3,0.18626187666643684,0.18626187666643684,0.00023941202469448004,0.4857584635416667
temp_001,4,0.4280772035038435,0.4280772035038435,-0.030535283894484493,0.4735260009765625
hier_x3,0,0.398698804828426,0.398698804828426,0.02789757411906291,0.4952748616536458
hier_x3,1,0.30182666244220957,0.30182666244220957,0.012370615562842486,0.4798940022786458
hier_x3,2,0.11698499941303478,0.11698499941303478,-0.03140540244132103,0.4685516357421875
hier_x3,3,0.1857782751526785,0.1857782751526785,0.012631941442618857,0.486328125
hier_x3,4,0.4435081188343835,0.4435081188343835,-0.015554773196105785,0.4771067301432292
temp_003_hier_x3,0,0.39776514849008693,0.39776514849008693,0.027867326543987055,0.495269775390625
temp_003_hier_x3,1,0.3011545101288774,0.3011545101288774,0.012194494321358464,0.4798431396484375
temp_003_hier_x3,2,0.11593365512625059,0.11593365512625059,-0.031436042669857764,0.4685567220052083
temp_003_hier_x3,3,0.18469251494559283,0.18469251494559283,0.012556734806411264,0.4862874348958333
temp_003_hier_x3,4,0.4424435191738303,0.4424435191738303,-0.015646635876253062,0.4771067301432292
