config_name,seed,factor_probe_fast_l1,factor_probe_fast_l2,factor_probe_fast_l3,factor_probe_fast_l4,factor_probe_fast_l5,factor_probe_fast_l6,factor_probe_mid_l1,factor_probe_mid_l2,factor_probe_mid_l3,factor_probe_mid_l4,factor_probe_mid_l5,factor_probe_mid_l6,factor_probe_slow_l1,factor_probe_slow_l2,factor_probe_slow_l3,factor_probe_slow_l4,factor_probe_slow_l5,factor_probe_slow_l6,factor_probe_context_l1,factor_probe_context_l2,factor_probe_context_l3,factor_probe_context_l4,factor_probe_context_l5,factor_probe_context_l6,factor_probe_nuisance_l1,factor_probe_nuisance_l2,factor_probe_nuisance_l3,factor_probe_nuisance_l4,factor_probe_nuisance_l5,factor_probe_nuisance_l6,mean_factor_probe_accuracy
v9_baseline,0,0.27801513671875,0.469146728515625,0.5748291015625,0.502471923828125,0.507598876953125,0.438873291015625,0.4140625,0.470184326171875,0.495086669921875,0.527099609375,0.453399658203125,0.5035400390625,0.453460693359375,0.450225830078125,0.495391845703125,0.451690673828125,0.484619140625,0.61138916015625,0.994873046875,0.628570556640625,0.488037109375,0.566497802734375,0.521148681640625,0.55145263671875,0.1416015625,0.58111572265625,0.47918701171875,0.517547607421875,0.50518798828125,0.429962158203125,0.499542236328125
v9_baseline,1,0.363189697265625,0.4306640625,0.513916015625,0.45196533203125,0.5333251953125,0.5472412109375,0.427764892578125,0.570098876953125,0.4375,0.5352783203125,0.46905517578125,0.4765625,0.45916748046875,0.451507568359375,0.59552001953125,0.58056640625,0.476165771484375,0.488983154296875,0.950225830078125,0.55078125,0.59014892578125,0.552581787109375,0.50225830078125,0.45611572265625,0.19805908203125,0.485443115234375,0.459869384765625,0.395355224609375,0.515899658203125,0.5037841796875,0.49896647135416666
v9_baseline,2,0.31610107421875,0.536163330078125,0.492523193359375,0.607666015625,0.458526611328125,0.522064208984375,0.389801025390625,0.55426025390625,0.56231689453125,0.511688232421875,0.528839111328125,0.494110107421875,0.4888916015625,0.51580810546875,0.515380859375,0.54248046875,0.508331298828125,0.577606201171875,0.97161865234375,0.503173828125,0.5693359375,0.53875732421875,0.49810791015625,0.601837158203125,0.185089111328125,0.486175537109375,0.46014404296875,0.429107666015625,0.547943115234375,0.40399169921875,0.5105946858723959
v9_baseline,3,0.29376220703125,0.47674560546875,0.575592041015625,0.550811767578125,0.542999267578125,0.579681396484375,0.4732666015625,0.508026123046875,0.50103759765625,0.566925048828125,0.52801513671875,0.46527099609375,0.2880859375,0.4302978515625,0.453887939453125,0.59613037109375,0.4927978515625,0.482574462890625,1.0,0.532867431640625,0.488372802734375,0.473785400390625,0.499542236328125,0.5040283203125,0.173248291015625,0.489837646484375,0.510284423828125,0.43658447265625,0.515869140625,0.49383544921875,0.4974721272786458
v9_baseline,4,0.29833984375,0.486297607421875,0.541351318359375,0.560760498046875,0.475189208984375,0.549835205078125,0.28045654296875,0.59063720703125,0.435760498046875,0.5528564453125,0.520843505859375,0.5640869140625,0.3623046875,0.609649658203125,0.504974365234375,0.462158203125,0.43072509765625,0.522613525390625,0.997406005859375,0.44964599609375,0.4991455078125,0.64593505859375,0.59649658203125,0.540008544921875,0.1331787109375,0.43426513671875,0.493072509765625,0.413177490234375,0.54705810546875,0.44775390625,0.498199462890625
temp_003,0,0.5372314453125,0.4691162109375,0.57489013671875,0.50244140625,0.507080078125,0.43890380859375,0.518585205078125,0.4705810546875,0.495025634765625,0.52728271484375,0.453338623046875,0.50384521484375,0.581573486328125,0.450592041015625,0.49530029296875,0.451385498046875,0.484649658203125,0.611358642578125,0.538909912109375,0.628997802734375,0.4888916015625,0.567230224609375,0.521148681640625,0.551239013671875,0.468170166015625,0.5806884765625,0.479034423828125,0.51776123046875,0.505096435546875,0.4300537109375,0.5116800944010417
temp_003,1,0.551727294921875,0.430877685546875,0.514007568359375,0.45196533203125,0.5335693359375,0.547393798828125,0.474151611328125,0.570281982421875,0.43707275390625,0.535400390625,0.468780517578125,0.4761962890625,0.517425537109375,0.4517822265625,0.595611572265625,0.580902099609375,0.47637939453125,0.48907470703125,0.467681884765625,0.550567626953125,0.590087890625,0.55206298828125,0.501861572265625,0.455596923828125,0.52203369140625,0.485809326171875,0.45953369140625,0.395355224609375,0.516082763671875,0.503814697265625,0.503436279296875
temp_003,2,0.56622314453125,0.5364990234375,0.492828369140625,0.60760498046875,0.458221435546875,0.522125244140625,0.489593505859375,0.5540771484375,0.56207275390625,0.511627197265625,0.528411865234375,0.494415283203125,0.54345703125,0.515655517578125,0.515167236328125,0.54241943359375,0.508331298828125,0.577728271484375,0.590057373046875,0.502960205078125,0.569305419921875,0.540008544921875,0.4979248046875,0.6011962890625,0.47064208984375,0.48565673828125,0.46014404296875,0.429046630859375,0.547882080078125,0.40386962890625,0.5208384195963541
temp_003,3,0.569580078125,0.476287841796875,0.5753173828125,0.55059814453125,0.54296875,0.579986572265625,0.46697998046875,0.508056640625,0.501190185546875,0.566680908203125,0.5279541015625,0.465087890625,0.419586181640625,0.430145263671875,0.454132080078125,0.59613037109375,0.4930419921875,0.482574462890625,0.57794189453125,0.533416748046875,0.48797607421875,0.474334716796875,0.500274658203125,0.5040283203125,0.467803955078125,0.48956298828125,0.51092529296875,0.436248779296875,0.51593017578125,0.494140625,0.5066294352213542
temp_003,4,0.553070068359375,0.48638916015625,0.54180908203125,0.5609130859375,0.47528076171875,0.550018310546875,0.407379150390625,0.5904541015625,0.43603515625,0.55291748046875,0.521026611328125,0.564056396484375,0.500640869140625,0.609649658203125,0.505126953125,0.461517333984375,0.430633544921875,0.522674560546875,0.61279296875,0.449432373046875,0.4984130859375,0.6453857421875,0.59661865234375,0.540008544921875,0.50531005859375,0.43438720703125,0.493316650390625,0.413055419921875,0.547210693359375,0.44775390625,0.5151092529296875
