config_name,seed,boundary_f1_fast,boundary_f1_mid,boundary_f1_slow,boundary_f1_context,boundary_f1_macro,mean_boundary_f1,fast_boundary_precision,fast_boundary_recall,fast_boundary_f1,fast_boundary_detection_delay,mid_boundary_precision,mid_boundary_recall,mid_boundary_f1,mid_boundary_detection_delay,slow_boundary_precision,slow_boundary_recall,slow_boundary_f1,slow_boundary_detection_delay,context_boundary_precision,context_boundary_recall,context_boundary_f1,context_boundary_detection_delay,macro_boundary_precision,macro_boundary_recall,macro_boundary_f1,macro_boundary_detection_delay
v9_baseline,0,0.18185885247735153,0.5809796210225242,0.5309278350515464,0.1459521094640821,0.5309278350515464,0.39412925061341014,,,,,,,,,,,,,,,,,,,,
v9_baseline,1,0.18185885247735153,0.5409367179120487,0.48929421094369546,0.14310148232611175,0.48929421094369546,0.3688970949205806,,,,,,,,,,,,,,,,,,,,
v9_baseline,2,0.18185885247735153,0.5266356810868787,0.5257731958762886,0.14538198403648803,0.5257731958762886,0.3810845818706591,,,,,,,,,,,,,,,,,,,,
v9_baseline,3,0.18185885247735153,0.5314622810153736,0.47819191118160187,0.1459521094640821,0.47819191118160187,0.3631314130640022,,,,,,,,,,,,,,,,,,,,
v9_baseline,4,0.18185885247735153,0.4712191633893457,0.5265662172878668,0.1459521094640821,0.5265662172878668,0.3704325119813026,,,,,,,,,,,,,,,,,,,,
temp_003,0,,,,,,0.2297826089040494,1.0,0.1000246062992126,0.18185885247735153,0.0,0.568880688806888,0.23311491935483872,0.33071147658205224,0.0,0.21955719557195572,0.3984375,0.2831086439333862,0.0,0.03782287822878229,0.48046875,0.0701254275940707,0.0,0.21955719557195572,0.3984375,0.2831086439333862,0.0
temp_003,1,,,,,,0.1914020394691443,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5119926199261993,0.20980342741935484,0.29764032892384695,0.0,0.16482164821648215,0.29910714285714285,0.21252973830293417,0.0,0.028290282902829027,0.359375,0.0524515393386545,0.0,0.16482164821648215,0.29910714285714285,0.21252973830293417,0.0
temp_003,2,,,,,,0.20998125687054517,1.0,0.1000246062992126,0.18185885247735153,0.0,0.502460024600246,0.20589717741935484,0.29209867715409366,0.0,0.1968019680196802,0.35714285714285715,0.253766851704996,0.0,0.03690036900369004,0.46875,0.0684150513112885,0.0,0.1968019680196802,0.35714285714285715,0.253766851704996,0.0
temp_003,3,,,,,,0.1831895710150691,1.0,0.1000246062992126,0.18185885247735153,0.0,0.46156211562115623,0.1891381048387097,0.26832320343224886,0.0,0.15805658056580565,0.28683035714285715,0.20380650277557494,0.0,0.03136531365313653,0.3984375,0.05815279361459521,0.0,0.15805658056580565,0.28683035714285715,0.20380650277557494,0.0
temp_003,4,,,,,,0.19015902990908634,1.0,0.1000246062992126,0.18185885247735153,0.0,0.4560270602706027,0.18686995967741934,0.2651054701465856,0.0,0.17281672816728166,0.31361607142857145,0.22283901665344966,0.0,0.03136531365313653,0.3984375,0.05815279361459521,0.0,0.17281672816728166,0.31361607142857145,0.22283901665344966,0.0
temp_001,0,,,,,,0.22939389515529224,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5682656826568265,0.23286290322580644,0.330353950661423,0.0,0.21894218942189422,0.39732142857142855,0.2823156225218081,0.0,0.03782287822878229,0.48046875,0.0701254275940707,0.0,0.21894218942189422,0.39732142857142855,0.2823156225218081,0.0
temp_001,1,,,,,,0.19120768259476575,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5116851168511685,0.20967741935483872,0.29746156596353235,0.0,0.1645141451414514,0.29854910714285715,0.21213322759714512,0.0,0.028290282902829027,0.359375,0.0524515393386545,0.0,0.1645141451414514,0.29854910714285715,0.21213322759714512,0.0
temp_001,2,,,,,,0.20998125687054517,1.0,0.1000246062992126,0.18185885247735153,0.0,0.502460024600246,0.20589717741935484,0.29209867715409366,0.0,0.1968019680196802,0.35714285714285715,0.253766851704996,0.0,0.03690036900369004,0.46875,0.0684150513112885,0.0,0.1968019680196802,0.35714285714285715,0.253766851704996,0.0
temp_001,3,,,,,,0.18311806583094326,1.0,0.1000246062992126,0.18185885247735153,0.0,0.4609471094710947,0.1888860887096774,0.2679656775116196,0.0,0.15805658056580565,0.28683035714285715,0.20380650277557494,0.0,0.03136531365313653,0.3984375,0.05815279361459521,0.0,0.15805658056580565,0.28683035714285715,0.20380650277557494,0.0
temp_001,4,,,,,,0.19015902990908634,1.0,0.1000246062992126,0.18185885247735153,0.0,0.4560270602706027,0.18686995967741934,0.2651054701465856,0.0,0.17281672816728166,0.31361607142857145,0.22283901665344966,0.0,0.03136531365313653,0.3984375,0.05815279361459521,0.0,0.17281672816728166,0.31361607142857145,0.22283901665344966,0.0
hier_x3,0,,,,,,0.23175766839909895,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5753382533825339,0.2357610887096774,0.3344654987486593,0.0,0.22170971709717097,0.40234375,0.28588421887390963,0.0,0.038130381303813035,0.484375,0.07069555302166476,0.0,0.22170971709717097,0.40234375,0.28588421887390963,0.0
hier_x3,1,,,,,,0.19619446708154456,1.0,0.1000246062992126,0.18185885247735153,0.0,0.523370233702337,0.21446572580645162,0.30425455845548804,0.0,0.1706642066420664,0.30970982142857145,0.22006344171292624,0.0,0.02952029520295203,0.375,0.05473204104903078,0.0,0.1706642066420664,0.30970982142857145,0.22006344171292624,0.0
hier_x3,2,,,,,,0.21035437670523832,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5043050430504306,0.20665322580645162,0.29317125491598145,0.0,0.19710947109471094,0.35770089285714285,0.2541633624107851,0.0,0.03690036900369004,0.46875,0.0684150513112885,0.0,0.19710947109471094,0.35770089285714285,0.2541633624107851,0.0
hier_x3,3,,,,,,0.18419931052441973,1.0,0.1000246062992126,0.18185885247735153,0.0,0.4597170971709717,0.1883820564516129,0.2672506256703611,0.0,0.1602091020910209,0.29073660714285715,0.20658207771609832,0.0,0.03167281672816728,0.40234375,0.058722919042189285,0.0,0.1602091020910209,0.29073660714285715,0.20658207771609832,0.0
hier_x3,4,,,,,,0.1918232019757073,1.0,0.1000246062992126,0.18185885247735153,0.0,0.46002460024600245,0.18850806451612903,0.2674293886306757,0.0,0.17558425584255843,0.31863839285714285,0.22640761300555115,0.0,0.03075030750307503,0.390625,0.057012542759407064,0.0,0.17558425584255843,0.31863839285714285,0.22640761300555115,0.0
temp_003_hier_x3,0,,,,,,0.23161465803084727,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5741082410824109,0.2352570564516129,0.3337504469074008,0.0,0.22170971709717097,0.40234375,0.28588421887390963,0.0,0.038130381303813035,0.484375,0.07069555302166476,0.0,0.22170971709717097,0.40234375,0.28588421887390963,0.0
temp_003_hier_x3,1,,,,,,0.1954973713728901,1.0,0.1000246062992126,0.18185885247735153,0.0,0.5224477244772447,0.21408770161290322,0.3037182695745442,0.0,0.16974169741697417,0.3080357142857143,0.21887390959555908,0.0,0.02921279212792128,0.37109375,0.05416191562143671,0.0,0.16974169741697417,0.3080357142857143,0.21887390959555908,0.0
temp_003_hier_x3,2,,,,,,0.21012426723879685,1.0,0.1000246062992126,0.18185885247735153,0.0,0.503690036900369,0.20640120967741934,0.29281372899535213,0.0,0.1968019680196802,0.35714285714285715,0.253766851704996,0.0,0.03690036900369004,0.46875,0.0684150513112885,0.0,0.1968019680196802,0.35714285714285715,0.253766851704996,0.0
