config_name,seed,effective_rank,alive_feature_ratio,dead_feature_ratio,topk_utilization_entropy,active_count_mean,active_count_min,active_count_max
v9_baseline,0,7.127766132354736,0.9999885559082031,1.1444091796875e-05,0.0009428403803648343,7.999908447265625,7.0,8.0
v9_baseline,1,7.06016206741333,0.9999656677246094,3.4332275390625e-05,0.00252679311372212,7.999725341796875,7.0,8.0
v9_baseline,2,7.1074137687683105,0.9999732971191406,2.6702880859375e-05,0.0020189721627553114,7.999786376953125,7.0,8.0
v9_baseline,3,7.184929847717285,0.9999847412109375,1.52587890625e-05,0.0012220078702386008,7.9998779296875,7.0,8.0
v9_baseline,4,6.713888168334961,0.9999771118164062,2.288818359375e-05,0.001758773337830729,7.99981689453125,7.0,8.0
temp_003,0,7.779965400695801,0.9999198913574219,8.0108642578125e-05,0.005352752830896412,7.999359130859375,7,8
temp_003,1,7.64675235748291,0.9998817443847656,0.000118255615234375,0.007533096677869184,7.999053955078125,7,8
temp_003,2,7.840652942657471,0.9999198913574219,8.0108642578125e-05,0.005352752830896412,7.999359130859375,7,8
temp_003,3,7.607766151428223,0.9998626708984375,0.0001373291015625,0.008583751151210685,7.9989013671875,7,8
temp_003,4,7.722259521484375,0.9998931884765625,0.0001068115234375,0.006891097042624155,7.9991455078125,7,8
temp_001,0,7.780120849609375,0.9998664855957031,0.000133514404296875,0.008375419116459405,7.998931884765625,7,8
temp_001,1,7.646555423736572,0.9998741149902344,0.000125885009765625,0.007956110445805353,7.998992919921875,7,8
temp_001,2,7.840610504150391,0.9999046325683594,9.5367431640625e-05,0.006239260942413728,7.999237060546875,7,8
temp_001,3,7.607783794403076,0.9998779296875,0.0001220703125,0.007745080942752447,7.9990234375,7,8
temp_001,4,7.722420692443848,0.9998970031738281,0.000102996826171875,0.006674964314970696,7.999176025390625,7,8
hier_x3,0,7.784807205200195,0.9999008178710938,9.918212890625e-05,0.006457700116004689,7.99920654296875,7,8
hier_x3,1,7.6323981285095215,0.9999122619628906,8.7738037109375e-05,0.005700537979173996,7.999298095703125,6,8
hier_x3,2,7.83110237121582,0.9999008178710938,9.918212890625e-05,0.006457700116004689,7.99920654296875,7,8
hier_x3,3,7.607094764709473,0.9998359680175781,0.000164031982421875,0.01001951432120969,7.998687744140625,7,8
hier_x3,4,7.723067760467529,0.9999237060546875,7.62939453125e-05,0.005127647356622942,7.9993896484375,7,8
temp_003_hier_x3,0,7.785335063934326,0.9998664855957031,0.000133514404296875,0.008375419116459405,7.998931884765625,7,8
temp_003_hier_x3,1,7.631865978240967,0.9998664855957031,0.000133514404296875,0.008375419116459405,7.998931884765625,7,8
temp_003_hier_x3,2,7.83096981048584,0.9998703002929688,0.00012969970703125,0.008166214099917437,7.99896240234375,7,8
temp_003_hier_x3,3,7.607174396514893,0.9998626708984375,0.0001373291015625,0.008583751151210685,7.9989013671875,7,8
temp_003_hier_x3,4,7.723616123199463,0.9998931884765625,0.0001068115234375,0.006891097042624155,7.9991455078125,7,8
