config_name,seed,prefix_nrmse_l1,prefix_nrmse_l2,prefix_nrmse_l3,prefix_nrmse_l4,prefix_nrmse_l5,prefix_nrmse_l6,marginal_gain_l2,marginal_gain_l3,marginal_gain_l4,marginal_gain_l5,marginal_gain_l6,full_prefix_gain,strict_monotonic_pass,nondegrading_pass,end_to_end_pass
v9_baseline,0,1.002658803475883,1.002559565586953,1.0065309368838402,1.0010199202273558,1.0028696508516506,1.0095912283633912,9.923788892995944e-05,-0.003971371296887183,0.005511016656484458,-0.001849730624294832,-0.0067215775117406285,-0.006932424887508226,False,False,False
v9_baseline,1,1.0026407762903606,1.0078459493728587,1.0046435612544835,1.0078681298805359,1.0049298753774873,0.9983920160946743,-0.005205173082498016,0.0032023881183751435,-0.00322456862605236,0.0029382545030485208,0.00653785928281303,0.004248760195686319,False,False,True
v9_baseline,2,1.0050611910524205,1.006761048604921,1.0131971956792225,1.0003281711672094,1.0053929266134565,1.0047734630325131,-0.0016998575525004611,-0.0064361470743015126,0.012869024512013105,-0.005064755446247071,0.0006194635809433358,0.00028772801990739616,False,False,True
v9_baseline,3,1.0038549602564324,1.006760695130695,1.0036825532027347,1.0002104642499745,1.0035199550588065,1.005685426535414,-0.002905734874262711,0.0030781419279604094,0.0034720889527601884,-0.0033094908088320274,-0.0021654714766075056,-0.0018304662789816462,False,False,False
v9_baseline,4,1.006837575774835,1.0098526225534667,1.0102759963075751,1.0027320610092072,1.0078179365404536,1.013319762867064,-0.003015046778631847,-0.0004233737541083915,0.007543935298367943,-0.005085875531246398,-0.005501826326610448,-0.006482187092229141,False,False,False
temp_003,0,1.0000616516008578,0.9988814895290318,1.000870223892674,1.0006419679112792,1.0008339927845162,1.0000611213895187,0.0011801620718260297,-0.0019887343636423305,0.0002282559813948648,-0.00019202487323699557,0.0007728713949974875,5.302113390559526e-07,False,False,False
temp_003,1,1.000513038187371,1.0015469502982182,0.9995354168470035,1.0021585490776348,0.9992728738656935,1.0009993303536953,-0.001033912110847135,0.002011533451214631,-0.0026231322306312643,0.0028856752119412743,-0.0017264564880017375,-0.00048629216632423145,False,False,False
temp_003,2,1.000295121327085,1.002136633675627,1.0023698382961848,1.0000589121756067,1.0017205945117067,1.0025162649942765,-0.0018415123485420182,-0.0002332046205577587,0.0023109261205780385,-0.0016616823360999788,-0.000795670482569788,-0.0022211436671915052,False,False,False
temp_003,3,1.0002031296597864,0.999886858596135,1.000416186249466,0.9999563162815304,1.0025362362880417,0.9993205928861941,0.00031627106365139657,-0.0005293276533310243,0.0004598699679356777,-0.002579920006511305,0.0032156434018475455,0.0008825367735922907,False,False,True
temp_003,4,1.0008816234364604,1.0011332970853228,1.0043064352115023,1.0007775252769238,1.0001576198531978,1.0062083916526785,-0.00025167364886247157,-0.0031731381261794755,0.00352890993457855,0.0006199054237259194,-0.006050771799480659,-0.005326768216218136,False,False,False
temp_001,0,1.0000619167065272,0.9988814895290318,1.0008718145266908,1.0006428515968442,1.000834699732968,1.0000613864951882,0.0011804271774954467,-0.0019903249976590542,0.00022896292984664335,-0.0001918481361238289,0.0007733132377798491,5.302113390559526e-07,False,False,False
temp_001,1,1.0005141869786054,1.001548364195122,0.9995350633727775,1.0021590792889736,0.9992745528682667,1.0009989768794694,-0.001034177216516552,0.0020133008223444104,-0.0026240159161960985,0.002884526420706912,-0.001724424011202652,-0.00048478990086398,False,False,False
temp_001,2,1.0002961817497626,1.0021376057297484,1.0023694848219589,1.0000588238070502,1.0017201526689243,1.002516353362833,-0.001841423979985768,-0.0002318790922104519,0.0023106610149086215,-0.0016613288618740896,-0.0007962006939086219,-0.0022201716130703097,False,False,False
temp_001,3,1.0002042784510208,0.9998872120703609,1.0004162746180225,0.9999559628073045,1.0025364130251546,0.9993209463604201,0.0003170663806598695,-0.0005290625476616073,0.0004603118107180393,-0.0025804502178501387,0.00321546666473449,0.0008833320906006525,False,False,True
temp_001,4,1.0008824187534686,1.0011347109822266,1.0043082909511885,1.000778143856819,1.0001585919073193,1.0062103357609211,-0.00025229222875799984,-0.003173579968961837,0.0035301470943693847,0.0006195519494998081,-0.006051743853601854,-0.005327917007452498,False,False,False
hier_x3,0,0.9995065203290336,0.997445765591858,0.9979366529231192,0.9973847029193286,0.9969814771960982,0.9952591740302511,0.0020607547371755963,-0.000490887331261125,0.0005519500037906022,0.00040322572323037154,0.0017223031658470944,0.0042473462987825394,False,False,True
hier_x3,1,0.9994961812079252,0.9997477664882313,0.996579753738328,0.9991177870490664,0.9950256159354675,0.9959745174949782,-0.00025158528030611027,0.003168012749903304,-0.00253803331073843,0.004092171113598941,-0.000948901559510773,0.003521663712946932,False,False,True
hier_x3,2,0.9994329093214837,1.000587002669147,0.9999165504311132,0.9961828905511644,0.9977759988874337,0.9976662451402822,-0.0011540933476633652,0.0006704522380338584,0.003733659879948781,-0.0015931083362693554,0.00010975374715149755,0.001766664181201416,False,False,True
hier_x3,3,0.9995143851305606,0.9988034600936576,0.9979493779952527,0.9961015914792003,0.9984769382774542,0.9940389810023386,0.0007109250369029541,0.0008540820984048736,0.001847786516052441,-0.002375346798253908,0.004437957275115645,0.005475404128222006,False,False,True
hier_x3,4,1.0001218305878223,0.9994524387724663,1.0018966246762202,0.9974350729965237,0.9958725401807973,1.001519821151378,0.0006693918153560796,-0.002444185903753948,0.004461551679696529,0.0015625328157263807,-0.005647280970580759,-0.0013979905635557177,False,False,False
temp_003_hier_x3,0,0.9995050180635735,0.9974453237490757,0.9979416015622823,0.9973870005017971,0.9969827143558889,0.9952620018240586,0.0020596943144978175,-0.0004962778132066026,0.0005546010604852158,0.0004042861459081504,0.0017207125318303707,0.004243016239514952,False,False,True
temp_003_hier_x3,1,0.9994967997878206,0.9997507710191518,0.996577014313077,0.9991210566856563,0.9950281786236055,0.9959725733867356,-0.0002539712313311959,0.0031737567060747818,-0.002544042372579325,0.004092878062050831,-0.0009443947631301297,0.003524226401084962,False,False,True
