config_name,seed,level,horizon,nrmse,predictive_utility_per_active_feature
temp_003,0,1,1,1.004840269661214,0.1243978805573217
temp_003,0,2,2,1.0064377964253075,0.0621002114419555
temp_003,0,3,4,1.0053491841779976,0.04144496987229944
temp_003,0,4,8,1.006165974745567,0.031058494100038046
temp_003,0,5,16,1.0069973461249557,0.02482628190629933
temp_003,0,6,32,1.0069890394806462,0.020688738915934927
temp_003,1,1,1,1.0052280308870598,0.12434989475398614
temp_003,1,2,2,1.0052079712247384,0.06217618816232656
temp_003,1,3,4,1.0065631914069564,0.041394983449750254
temp_003,1,4,8,1.0067420493652772,0.031040721910843026
temp_003,1,5,16,1.0053141902296305,0.02486784752145259
temp_003,1,6,32,1.0065280207214762,0.020698214952911034
temp_003,2,1,1,1.005818863055703,0.12427684987424155
temp_003,2,2,2,1.0043189835465227,0.062231224327156526
temp_003,2,3,4,1.0059952466944424,0.04141835340307995
temp_003,2,4,8,1.0064026257398273,0.031051190836593835
temp_003,2,5,16,1.0080575920656345,0.024800170338057637
temp_003,2,6,32,1.0063298984178422,0.020702289936704303
temp_003,3,1,1,1.005232095840658,0.1243493919083711
temp_003,3,2,2,1.0044388113091132,0.06222380025285176
temp_003,3,3,4,1.0075467334406083,0.04135457469764276
temp_003,3,4,8,1.0070635341737613,0.03103081278376516
temp_003,3,5,16,1.008600705213777,0.024786815897084313
temp_003,3,6,32,1.0078603534475652,0.020670853117460957
temp_003,4,1,1,1.0046254457004047,0.12442448116304868
temp_003,4,2,2,1.007188398944071,0.06205393154522116
temp_003,4,3,4,1.0068253809140404,0.041384203695378055
temp_003,4,4,8,1.0052725686395272,0.031086096413211976
temp_003,4,5,16,1.0063744361703093,0.024841648491117696
temp_003,4,6,32,1.0087048917418702,0.02065354644315714
temp_001,0,1,1,1.0048409766096658,0.1243977930381112
temp_001,0,2,2,1.0064384150052028,0.06210017327375594
temp_001,0,3,4,1.00534962602078,0.041444951657580574
temp_001,0,4,8,1.0061664165883493,0.031058480461169546
temp_001,0,5,16,1.0069978763362946,0.024826268834597317
temp_001,0,6,32,1.0069896580605417,0.020688726207127195
temp_001,1,1,1,1.0052289145726248,0.12434978543937604
temp_001,1,2,2,1.005208854910303,0.062176133502839986
temp_001,1,3,4,1.0065634565126258,0.04139497254726346
temp_001,1,4,8,1.006743286525068,0.031040683765733417
temp_001,1,5,16,1.0053147204409694,0.024867834405943135
temp_001,1,6,32,1.0065284625642588,0.020698205866872012
temp_001,2,1,1,1.0058199234783807,0.12427671885079822
temp_001,2,2,2,1.0043188951779662,0.06223122980279129
temp_001,2,3,4,1.0059962187485636,0.04141831338217297
temp_001,2,4,8,1.0064026257398273,0.031051190836593835
temp_001,2,5,16,1.0080597129109903,0.024800118161261566
temp_001,2,6,32,1.0063301635235116,0.020702284482933132
temp_001,3,1,1,1.0052327144205535,0.1243493153887427
temp_001,3,2,2,1.0044393415204522,0.06222376740690172
temp_001,3,3,4,1.0075472636519471,0.04135455293522505
temp_001,3,4,8,1.0070640643851,0.03103079644628538
temp_001,3,5,16,1.0086011470565595,0.024786805038603997
temp_001,3,6,32,1.0078609720274607,0.020670840430617718
temp_001,4,1,1,1.0046263293859694,0.12442437171726317
