variant,level,target,score_r2
paper_core_full,level_1,reward_long,0.9920505116600823
paper_core_full,level_1,reward_short,0.05977493643974552
paper_core_full,level_1,continue,0.8126232862177263
paper_core_full,level_1,value_long,0.9922318662884223
paper_core_full,level_2,reward_long,0.9967943837902944
paper_core_full,level_2,reward_short,0.06012652325915291
paper_core_full,level_2,continue,0.812647295540857
paper_core_full,level_2,value_long,0.9968285562785846
paper_core_full,level_3,reward_long,0.996794403387924
paper_core_full,level_3,reward_short,0.9935670963661591
paper_core_full,level_3,continue,0.8126953374252104
paper_core_full,level_3,value_long,0.9968286282783494
paper_core_full,level_4,reward_long,0.9967945980737445
paper_core_full,level_4,reward_short,0.9935675124466302
paper_core_full,level_4,continue,0.8128165443561766
paper_core_full,level_4,value_long,0.9968286794087169
no_ctrl,level_1,reward_long,0.0
no_ctrl,level_1,reward_short,0.0
no_ctrl,level_1,continue,0.0
no_ctrl,level_1,value_long,0.0
no_ctrl,level_2,reward_long,0.0
no_ctrl,level_2,reward_short,0.0
no_ctrl,level_2,continue,0.0
no_ctrl,level_2,value_long,0.0
no_ctrl,level_3,reward_long,0.0
no_ctrl,level_3,reward_short,0.0
no_ctrl,level_3,continue,0.0
no_ctrl,level_3,value_long,0.0
no_ctrl,level_4,reward_long,0.0
no_ctrl,level_4,reward_short,0.0
no_ctrl,level_4,continue,0.0
no_ctrl,level_4,value_long,0.0
recon_only,level_1,reward_long,0.0
recon_only,level_1,reward_short,0.0
recon_only,level_1,continue,0.0
recon_only,level_1,value_long,0.0
recon_only,level_2,reward_long,0.0
recon_only,level_2,reward_short,0.0
recon_only,level_2,continue,0.0
recon_only,level_2,value_long,0.0
recon_only,level_3,reward_long,0.0
recon_only,level_3,reward_short,0.0
recon_only,level_3,continue,0.0
recon_only,level_3,value_long,0.0
recon_only,level_4,reward_long,0.0
recon_only,level_4,reward_short,0.0
recon_only,level_4,continue,0.0
recon_only,level_4,value_long,0.0
