config_name,seed,prefix_level,boundary_type,boundary_readout_source,score_formula,normalization,probe_or_threshold_model,validation_threshold_policy,test_evaluation_policy,auprc,precision,recall,f1,positive_rate,predicted_positive_rate,validation_selected_threshold,test_score_mean_positive,test_score_mean_negative,test_score_std_positive,test_score_std_negative,score_separation_effect_size
baseline_v9,0,1,fast,latent prefix z1:z1,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,1.0,1.0,0.4990465059055118,0.6658185772616287,0.9921875,0.495147705078125,0.2195897027850151,0.23835207521915436,0.0,0.11610490083694458,0.0,2.027855762876616
baseline_v9,0,1,mid,latent prefix z1:z1,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.7915470311779885,0.7109957401490948,0.6730090725806451,0.6914810978767478,0.2421875,0.229248046875,0.299688925743103,0.3612750768661499,0.19661018252372742,0.13128237426280975,0.07845842838287354,1.4009387358122587
baseline_v9,0,1,slow,latent prefix z1:z1,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.6463581802062934,0.570964247020585,0.5881696428571429,0.5794392523364486,0.0546875,0.05633544921875,0.4355308187007904,0.4839912950992584,0.22217169404029846,0.15363231301307678,0.09746994078159332,2.2275131708138023
baseline_v9,0,1,context,latent prefix z1:z1,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.5849440018527002,0.49221183800623053,0.6171875,0.5476603119584055,0.0078125,0.009796142578125,0.6222774648666378,0.6715916395187378,0.2330639809370041,0.15150898694992065,0.11063926666975021,3.7309129312933895
baseline_v9,0,1,macro,latent prefix z1:z1,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.6463581802062934,0.570964247020585,0.5881696428571429,0.5794392523364486,0.0546875,0.05633544921875,0.4355308187007904,0.4839912950992584,0.22217169404029846,0.15363231301307678,0.09746994078159332,2.2275131708138023
baseline_v9,0,2,fast,latent prefix z1:z2,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,1.0,1.0,0.5003998523622047,0.6670219962690392,0.9921875,0.496490478515625,0.2335335910320282,0.24743607640266418,0.0,0.11618568003177643,0.0,2.10112773277204
baseline_v9,0,2,mid,latent prefix z1:z2,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.784978223584351,0.7359847373055474,0.6319304435483871,0.68,0.2421875,0.20794677734375,0.31888307571411134,0.36794015765190125,0.20637357234954834,0.13012850284576416,0.08103471249341965,1.3719585195637138
baseline_v9,0,2,slow,latent prefix z1:z2,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.6443214770050558,0.5678745267712277,0.5859375,0.5767646251029938,0.0546875,0.056427001953125,0.44184298574924463,0.48906993865966797,0.23141232132911682,0.15275278687477112,0.09843827784061432,2.187924950976784
baseline_v9,0,2,context,latent prefix z1:z2,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.5828984190012791,0.4952978056426332,0.6171875,0.5495652173913044,0.0078125,0.009735107421875,0.6289989006519318,0.6752543449401855,0.24211910367012024,0.15071366727352142,0.11105359345674515,3.678010420729594
baseline_v9,0,2,macro,latent prefix z1:z2,L2 norm of temporal finite difference,none,validation-selected scalar threshold,maximize F1 on validation split,fixed validation threshold and threshold-free AUPRC,0.6443214770050558,0.5678745267712277,0.5859375,0.5767646251029938,0.0546875,0.056427001953125,0.44184298574924463,0.48906993865966797,0.23141232132911682,0.15275278687477112,0.09843827784061432,2.187924950976784
