variant,metric,mean,std,standard_error,ci95_low,ci95_high,seed_count
locked_baseline_direct_head,boundary_auprc_overall,0.7031229334644903,0.04169862827798614,0.0186481934796144,0.6607705242497722,0.732767269171182,5
locked_baseline_direct_head,boundary_auprc_macro,0.5886741344193551,0.0586182902424128,0.026214896341369528,0.5360074003851112,0.6369313431206873,5
locked_baseline_direct_head,boundary_auprc_fast,1.0,0.0,0.0,1.0,1.0,5
locked_baseline_direct_head,boundary_auprc_mid,0.7137256621873757,0.05337668578870836,0.023870779567439774,0.6646260068747697,0.7582567434574694,5
locked_baseline_direct_head,boundary_auprc_slow,0.5886741344193551,0.0586182902424128,0.026214896341369528,0.5360074003851112,0.6369313431206873,5
locked_baseline_direct_head,boundary_auprc_context,0.6245407362963655,0.12545126107304727,0.05610350952448138,0.508775259306067,0.72023509700074,5
locked_baseline_direct_head,boundary_f1_overall,0.5902877019972124,0.028764519074921537,0.012863883998322783,0.5613482515489933,0.6110346808777845,5
locked_baseline_direct_head,boundary_f1_macro,0.5497897327657617,0.04000595313589426,0.01789120614330609,0.5153839744909016,0.5828057185920249,5
locked_baseline_direct_head,detached_probe_auprc,0.35290899674338994,0.03248315763875253,0.01452690972081844,0.3259886281111468,0.37982936537563317,5
locked_baseline_direct_head,factor_probe_accuracy,0.4068389892578125,0.004830708319455355,0.0021603584363551888,0.4022440236409505,0.41041185506184896,5
locked_baseline_direct_head,full_prefix_gain,0.0013702074893974902,0.002065633634920361,0.000923779444858382,-0.0003576098743740541,0.003255126472883907,5
locked_baseline_direct_head,effective_rank,7.406697559356689,0.13925977844766618,0.06227886622810834,7.263883399963379,7.501670265197754,5
locked_baseline_direct_head,dead_feature_ratio,5.2642822265625e-05,1.7957461999419892e-05,8.030821146814434e-06,3.812789916992188e-05,6.866455078125e-05,5
locked_baseline_direct_head,alive_feature_ratio,0.9999473571777344,1.795746199941989e-05,8.030821146814432e-06,0.9999313354492188,0.9999618721008301,5
locked_baseline_direct_head,topk_utilization_entropy,0.0036706996046895735,0.001106740335313097,0.0004949493246401992,0.0027635031305429276,0.004650810785428058,5
locked_baseline_direct_head,revisit_similarity,0.6734505676194036,0.05759200273329863,0.025755926614401885,0.6213746599523682,0.7289730240998668,5
locked_baseline_direct_head,nuisance_sensitivity,0.230859375,0.028295956365544137,0.012654336384344916,0.2073486328125,0.254156494140625,5
locked_baseline_direct_head,prefix_nrmse_l1,0.9978237886027795,0.0006552498309360938,0.0002930366328436701,0.9973679482410194,0.9984740928099354,5
locked_baseline_direct_head,prefix_nrmse_l2,0.9988957168666255,0.0009830131839060282,0.00043961686039847625,0.9979351449137029,0.9997526797799716,5
locked_baseline_direct_head,prefix_nrmse_l3,0.9991452166489987,0.0017768081135776806,0.0007946127449865722,0.9977532351472839,1.0006889857272843,5
locked_baseline_direct_head,prefix_nrmse_l4,0.9962086234748121,0.0017594493116198067,0.0007868496527494197,0.9951253663620252,0.997889799914472,5
locked_baseline_direct_head,prefix_nrmse_l5,0.9969536057533835,0.0008238613849609799,0.0003684420121619748,0.9962724432463039,0.9976279285341914,5
locked_baseline_direct_head,prefix_nrmse_l6,0.9964535811133821,0.00232185445841666,0.001038364880576122,0.9944486929776148,0.9984584692491494,5
locked_hier_x3,boundary_auprc_overall,0.713103238873355,0.03898103473912378,0.01743284870199231,0.6757642756868589,0.7412348675193524,5
locked_hier_x3,boundary_auprc_macro,0.5873902412974752,0.054083749834340604,0.024186988221535716,0.5402991997616432,0.6329164672517054,5
locked_hier_x3,boundary_auprc_fast,1.0,0.0,0.0,1.0,1.0,5
locked_hier_x3,boundary_auprc_mid,0.7153906364102912,0.05598578484095104,0.025037604135608755,0.6676566585415125,0.7632575355467799,5
locked_hier_x3,boundary_auprc_slow,0.5873902412974752,0.054083749834340604,0.024186988221535716,0.5402991997616432,0.6329164672517054,5
locked_hier_x3,boundary_auprc_context,0.6753450753615337,0.1173529915563338,0.052481853296584245,0.5647389147361421,0.7589107113263021,5
