config_name,seed,checkpoint_update,boundary,precision,recall,f1,auprc,positive_rate,predicted_positive_rate,threshold,threshold_selection_split
baseline_v9,0,0,fast,1.0,0.4981545275590551,0.6650242259998357,1.0,0.9921875,0.4942626953125,0.2363341972231865,val
baseline_v9,0,0,mid,0.40268456375838924,0.6880040322580645,0.5080251221214236,0.5338690694085947,0.2421875,0.413787841796875,0.255207479596138,val
baseline_v9,0,0,slow,0.36130244207889795,0.32198660714285715,0.34051342578931837,0.3119581157207611,0.0546875,0.048736572265625,0.39689013659954064,val
baseline_v9,0,0,context,0.15737704918032788,0.1875,0.1711229946524064,0.11431417026458707,0.0078125,0.009307861328125,0.4764049395918845,val
baseline_v9,0,0,macro,0.36130244207889795,0.32198660714285715,0.34051342578931837,0.3119581157207611,0.0546875,0.048736572265625,0.39689013659954064,val
baseline_v9,0,1,fast,1.0,0.4979084645669291,0.6648049281314168,1.0,0.9921875,0.4940185546875,0.23692498356103897,val
baseline_v9,0,1,mid,0.4035540480755051,0.6896421370967742,0.5091636431295935,0.5357377326232862,0.2421875,0.41387939453125,0.25586117208004,val
baseline_v9,0,1,slow,0.363125,0.32421875,0.3425707547169811,0.31441402613477004,0.0546875,0.048828125,0.39797179549932477,val
baseline_v9,0,1,context,0.16233766233766234,0.1953125,0.17730496453900707,0.11598038269890468,0.0078125,0.0093994140625,0.47805646389722817,val
baseline_v9,0,1,macro,0.363125,0.32421875,0.3425707547169811,0.31441402613477004,0.0546875,0.048828125,0.39797179549932477,val
baseline_v9,0,100,fast,1.0,0.49707800196850394,0.66406426560927,1.0,0.9921875,0.493194580078125,0.2775009423494339,val
baseline_v9,0,100,mid,0.6135922330097088,0.5972782258064516,0.6053253304386693,0.6938045215694227,0.2421875,0.235748291015625,0.36273255467414856,val
baseline_v9,0,100,slow,0.4921323928377645,0.5061383928571429,0.4990371389270977,0.5125888248151597,0.0546875,0.056243896484375,0.48613399446010586,val
baseline_v9,0,100,context,0.3895705521472393,0.49609375,0.436426116838488,0.42999377684099654,0.0078125,0.00994873046875,0.6517298358678814,val
baseline_v9,0,100,macro,0.4921323928377645,0.5061383928571429,0.4990371389270977,0.5125888248151597,0.0546875,0.056243896484375,0.48613399446010586,val
