active_count_max,active_count_mean,active_count_min,alive_feature_ratio,batch_size,candidate_config,checkpoint_path,checkpoint_update,config_name,dead_feature_ratio,effective_rank,end_to_end_pass,full_prefix_gain,learning_rate,marginal_gain_l2,marginal_gain_l3,marginal_gain_l4,marginal_gain_l5,marginal_gain_l6,mean_boundary_auprc,mean_boundary_f1,mean_boundary_precision,mean_boundary_recall,mean_factor_probe_accuracy,model_derived_metrics,nondegrading_pass,nondegrading_violating_levels,optimizer,optimizer_updates,prefix_nrmse_l1,prefix_nrmse_l2,prefix_nrmse_l3,prefix_nrmse_l4,prefix_nrmse_l5,prefix_nrmse_l6,raw_hier_loss,raw_sdyn_loss,raw_sparse_loss,raw_temp_loss,raw_vc_loss,resumed_from_update,seed,sequence_length,strict_monotonic_pass,topk_utilization_entropy,violating_levels,weighted_hier_loss,weighted_sdyn_loss,weighted_sparse_loss,weighted_temp_loss,weighted_vc_loss
8,7.999755859375,7,0.999969482421875,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_0/checkpoints/step_500.npz,500,baseline_v9,3.0517578125e-05,7.256441116333008,False,-0.0027099101530971836,0.05,0.0004197506432926934,-0.002708938098975877,0.00521851673452689,-0.0028252311193071034,-0.0028140083126337867,0.780357718606542,0.6470515233335379,0.7306964411046069,0.6030374321909358,0.487322998046875,True,False,"[3, 5, 6]",sgd,500,1.0001642474949342,0.9997444968516415,1.0024534349506173,0.9972349182160904,1.0000601493353976,1.0028741576480313,0.1137787252664566,0.11563210189342499,0.06673702597618103,0.012402279302477837,0.7775334119796753,250,0,64,False,0.002274795451003506,"[3, 5, 6]",0.1137787252664566,0.11563210189342499,0.06673702597618103,0.00012402279302477836,0.007775334119796753
8,7.999755859375,7,0.999969482421875,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_0/checkpoints/step_1000.npz,1000,baseline_v9,3.0517578125e-05,7.478326797485352,False,-0.0005119190477040902,0.05,0.0003761849449466226,-0.0020020780156710938,0.003991077484982841,-0.0023825046513290538,-0.0004945988106334065,0.7338414786886552,0.6127676983539357,0.669027214439299,0.5931164728400885,0.4117706298828125,True,False,"[3, 5, 6]",sgd,1000,0.9976205585965807,0.9972443736516341,0.9992464516673052,0.9952553741823223,0.9976378788336514,0.9981324776442848,0.11312177032232285,0.11459265649318695,0.032542578876018524,0.00835922546684742,0.8399189710617065,250,0,64,False,0.002274795451003506,"[3, 5, 6]",0.11312177032232285,0.11459265649318695,0.032542578876018524,8.35922546684742e-05,0.008399189710617065
8,7.9996337890625,7,0.9999542236328125,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_1/checkpoints/step_500.npz,500,baseline_v9,4.57763671875e-05,7.209207057952881,True,0.004480727656453243,0.05,-0.0036850571738832327,0.0027380113540587114,-0.0025565907075999483,0.0027888232740362895,0.005195540909841423,0.680016100619615,0.5754190415101802,0.6268804029299399,0.5608238517816322,0.48444722493489584,True,False,"[2, 4]",sgd,500,0.9997688865732307,1.003453943747114,1.0007159323930552,1.0032725231006552,1.0004836998266189,0.9952881589167775,0.11386464536190033,0.1153426319360733,0.06470178812742233,0.013192764483392239,0.783789873123169,250,1,64,False,0.003263695062680449,"[2, 4]",0.11386464536190033,0.1153426319360733,0.06470178812742233,0.0001319276448339224,0.00783789873123169
8,7.999603271484375,7,0.9999504089355469,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_1/checkpoints/step_1000.npz,1000,baseline_v9,4.9591064453125e-05,7.450811386108398,True,0.0030290973791124998,0.05,-0.0017883144775395765,0.0019732698662577874,-0.0025237176045882492,0.002047676190816139,0.003320183404166399,0.6251259834000918,0.5371878937942116,0.5940113651001878,0.514763949617185,0.39775390625,True,False,"[2, 4]",sgd,1000,0.9973321236282213,0.9991204381057609,0.9971471682395031,0.9996708858440914,0.9976232096532752,0.9943030262491088,0.11313408613204956,0.11451723426580429,0.030159950256347656,0.008803552016615868,0.8459568023681641,250,1,64,False,0.0035039100381433273,"[2, 4]",0.11313408613204956,0.11451723426580429,0.030159950256347656,8.803552016615867e-05,0.00845956802368164
8,7.99957275390625,7,0.9999465942382812,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_2/checkpoints/step_500.npz,500,baseline_v9,5.340576171875e-05,7.23239278793335,True,0.004395451999447353,0.05,-0.002159285677653777,-0.0036480307487172237,0.010782466156344594,-0.0032402982291060978,0.002660600498579857,0.7677401365883902,0.6363297049327261,0.70336020745124,0.6071932887169347,0.49629007975260414,True,False,"[2, 3, 5]",sgd,500,1.001802865637792,1.0039621513154457,1.007610182064163,0.9968277159078184,1.0000680141369245,0.9974074136383446,0.11394401639699936,0.11515307426452637,0.06517623364925385,0.012136085890233517,0.7734666466712952,250,2,64,False,0.0037417742553142548,"[2, 3, 5]",0.11394401639699936,0.11515307426452637,0.06517623364925385,0.00012136085890233516,0.0077346664667129516
8,7.99932861328125,7,0.9999160766601562,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_2/checkpoints/step_1000.npz,1000,baseline_v9,8.392333984375e-05,7.414418697357178,True,0.004586151344337042,0.05,-0.0024288097749257664,-0.0018681112840435166,0.0071881634899689795,-0.0009599476290711451,0.0026548565424084902,0.7341393756048248,0.6116523917704402,0.6706989370317006,0.5911748997605139,0.40950419108072916,True,False,"[2, 3, 5]",sgd,1000,0.9978960033871372,1.000324813162063,1.0021929244461065,0.9950047609561375,0.9959647085852087,0.9933098520428002,0.11318405717611313,0.11435683816671371,0.0311008021235466,0.008095484226942062,0.8325600028038025,250,2,64,False,0.005576403605532558,"[2, 3, 5]",0.11318405717611313,0.11435683816671371,0.0311008021235466,8.095484226942063e-05,0.008325600028038026
8,7.9996337890625,7,0.9999542236328125,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_3/checkpoints/step_500.npz,500,baseline_v9,4.57763671875e-05,7.330156326293945,True,0.0001940573500358589,0.05,-0.0024001783626255158,0.0030438549280451532,0.002708407887636932,-0.0015244459678823707,-0.00163358113513834,0.7581996334219016,0.6300025453339174,0.6905775500486002,0.6089891800319315,0.4853586832682292,True,False,"[2, 5, 6]",sgd,500,1.0004502965122684,1.0028504748748939,0.9998066199468487,0.9970982120592118,0.9986226580270942,1.0002562391622325,0.1136554628610611,0.11511217057704926,0.06710432469844818,0.012738076969981194,0.7782673835754395,250,3,64,False,0.003263695062680449,"[2, 5, 6]",0.1136554628610611,0.11511217057704926,0.06710432469844818,0.00012738076969981193,0.007782673835754395
8,7.999542236328125,7,0.9999427795410156,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_3/checkpoints/step_1000.npz,1000,baseline_v9,5.7220458984375e-05,7.5477070808410645,True,0.0002051034195962309,0.05,-0.0015947873388425515,0.0012049052676410543,0.002431725937289797,-0.0007437981399145421,-0.0010929423065775268,0.6943352954437609,0.5824098780083958,0.6257584858315981,0.5767436737998476,0.4066864013671875,True,False,"[2, 5, 6]",sgd,1000,0.9972228117238523,0.9988175990626948,0.9976126937950538,0.995180967857764,0.9959247659976785,0.9970177083042561,0.11301105469465256,0.11432000249624252,0.03171199560165405,0.008738658390939236,0.8445563912391663,250,3,64,False,0.003977455856369191,"[2, 5, 6]",0.11301105469465256,0.11432000249624252,0.03171199560165405,8.738658390939236e-05,0.008445563912391664
8,7.999725341796875,7,0.9999656677246094,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_4/checkpoints/step_500.npz,500,baseline_v9,3.4332275390625e-05,6.870502471923828,False,-0.0029456774617930837,0.05,-0.0015351385632167425,-0.0004003979294229243,0.006301561762778296,-0.003385576135963686,-0.003926126595968027,0.7738089073675724,0.6471485966033559,0.7313806553515896,0.6114275565604703,0.4834035237630208,True,False,"[2, 3, 5, 6]",sgd,500,1.0030935767737776,1.0046287153369944,1.0050291132664173,0.998727551503639,1.0021131276396027,1.0060392542355707,0.11447857320308685,0.11517918109893799,0.06906407326459885,0.011621848680078983,0.7651232481002808,250,4,64,False,0.00252679311372212,"[2, 3, 5, 6]",0.11447857320308685,0.11517918109893799,0.06906407326459885,0.00011621848680078984,0.007651232481002808
8,7.999664306640625,7,0.9999580383300781,32,baseline_v9,/mnt/disk1/backup_user/dat.tt2/xuance/external_baselines/dreamerv3-official/paper_artifacts/synthetic_convergence_v12/runs/baseline_v9/seed_4/checkpoints/step_1000.npz,1000,baseline_v9,4.1961669921875e-05,7.142223834991455,False,-0.00045739564835423074,0.05,7.608532713154759e-05,-0.00055548474605005,0.003595716563279394,-0.0016863371633585311,-0.0018873756293565913,0.7281725341851187,0.6074206480590788,0.6618581843420838,0.592351948319968,0.40847981770833336,True,False,"[3, 5, 6]",sgd,1000,0.9990474456781062,0.9989713603509747,0.9995268450970247,0.9959311285337453,0.9976174656971039,0.9995048413264604,0.11340033262968063,0.11429493129253387,0.03450707718729973,0.00822792574763298,0.8289759755134583,250,4,64,False,0.0030209330723992857,"[3, 5, 6]",0.11340033262968063,0.11429493129253387,0.03450707718729973,8.227925747632981e-05,0.008289759755134582
