config_name,seed,start_update,final_update,saved_updates,status,wall_clock_seconds
baseline_v9,0,250,1000,"500,1000",pass,119.998
baseline_v9,1,250,1000,"500,1000",pass,115.163
baseline_v9,2,250,1000,"500,1000",pass,123.266
baseline_v9,3,250,1000,"500,1000",pass,113.173
baseline_v9,4,250,1000,"500,1000",pass,112.663
hier_x3,0,250,1000,"500,1000",pass,122.147
hier_x3,1,250,1000,"500,1000",pass,113.578
hier_x3,2,250,1000,"500,1000",pass,113.696
hier_x3,3,250,1000,"500,1000",pass,113.665
hier_x3,4,250,1000,"500,1000",pass,113.437
temp_003_hier_x3,0,250,1000,"500,1000",pass,112.929
temp_003_hier_x3,1,250,1000,"500,1000",pass,112.343
temp_003_hier_x3,2,250,1000,"500,1000",pass,113.064
temp_003_hier_x3,3,250,1000,"500,1000",pass,116.925
temp_003_hier_x3,4,250,1000,"500,1000",pass,113.416
temp_003,0,250,1000,"500,1000",pass,112.403
temp_003,1,250,1000,"500,1000",pass,113.309
temp_003,2,250,1000,"500,1000",pass,116.201
temp_003,3,250,1000,"500,1000",pass,114.5
temp_003,4,250,1000,"500,1000",pass,114.041
