method,seed,boundary_f1,revisit_similarity,same_macro_distant_similarity,different_macro_similarity,nuisance_sensitivity
hts_full,0,0.5309278350515464,0.7815365280419428,0.7815365280419428,-0.03155782040454794,0.1416015625
hts_full,1,0.48929421094369546,0.7694819150868949,0.7694819150868949,-0.019875209880236406,0.19805908203125
hts_full,2,0.5257731958762886,0.7373733052619593,0.7373733052619593,-0.0746616857912634,0.185089111328125
hts_full,3,0.47819191118160187,0.7839252072869838,0.7839252072869838,0.003557983576526832,0.173248291015625
hts_full,4,0.5265662172878668,0.8325318497803685,0.8325318497803685,-0.02784200210046382,0.1331787109375
flat_sae,0,0.2799365582870738,0.3761930044285387,0.3761930044285387,0.0019944872148436386,0.4703369140625
flat_sae,1,0.2117367168913561,0.32462735356522715,0.32462735356522715,-0.018753524813669556,0.524871826171875
flat_sae,2,0.2501982553528945,0.11471159882132602,0.11471159882132602,-0.03788340566057708,0.4755859375
flat_sae,3,0.20182394924662964,0.18649416493773513,0.18649416493773513,0.00455278478639058,0.47265625
flat_sae,4,0.2204599524187153,0.4245440977706967,0.4245440977706967,-0.02734976243640942,0.51220703125
flat_mh,0,0.3223632038065028,0.42858568674523545,0.42858568674523545,0.056828945533869024,0.381744384765625
flat_mh,1,0.23195876288659795,0.5433502576748005,0.5433502576748005,0.24412540370113744,0.449127197265625
flat_mh,2,0.28350515463917525,0.25621929542486666,0.25621929542486666,0.03143753009161082,0.39801025390625
flat_mh,3,0.24544012688342587,0.29844915617412965,0.29844915617412965,0.08563406979159265,0.38543701171875
flat_mh,4,0.2613005551149881,0.4950153909075681,0.4950153909075681,0.015029520120168536,0.40118408203125
flat_partition_dim_matched,0,0.32038065027755747,0.43691157489256527,0.43691157489256527,0.06047204427873669,0.378204345703125
flat_partition_dim_matched,1,0.2343378271213323,0.5475631826120703,0.5475631826120703,0.2474973511629548,0.44671630859375
flat_partition_dim_matched,2,0.2827121332275972,0.25106312092782856,0.25106312092782856,0.04429988949427264,0.400238037109375
flat_partition_dim_matched,3,0.24385408406026965,0.31112958429702253,0.31112958429702253,0.10854234827001093,0.386749267578125
flat_partition_dim_matched,4,0.2593180015860428,0.5063363019828402,0.5063363019828402,0.03524158372045789,0.405609130859375
matryoshka_only,0,0.2799365582870738,0.3761930044285387,0.3761930044285387,0.0019944872148436386,0.4703369140625
matryoshka_only,1,0.2117367168913561,0.32462735356522715,0.32462735356522715,-0.018753524813669556,0.524871826171875
matryoshka_only,2,0.2501982553528945,0.11471159882132602,0.11471159882132602,-0.03788340566057708,0.4755859375
matryoshka_only,3,0.20182394924662964,0.18649416493773513,0.18649416493773513,0.00455278478639058,0.47265625
matryoshka_only,4,0.2204599524187153,0.4245440977706967,0.4245440977706967,-0.02734976243640942,0.51220703125
dense_multistride_no_sparse,0,0.5297383029341792,0.8024342761494148,0.8024342761494148,-0.029481418587431446,0.133575439453125
dense_multistride_no_sparse,1,0.4869151467089611,0.8004137155450423,0.8004137155450423,0.012592427996050303,0.184112548828125
dense_multistride_no_sparse,2,0.5237906423473433,0.7664665958801211,0.7664665958801211,-0.06717673125803737,0.171875
dense_multistride_no_sparse,3,0.47462331482950043,0.8141643387406304,0.8141643387406304,0.008869599389968199,0.160919189453125
dense_multistride_no_sparse,4,0.5293417922283902,0.8568443306424247,0.8568443306424247,-0.024321202380049062,0.12127685546875
hts_no_temp,0,0.42823156225218084,0.645259086875472,0.645259086875472,-0.023813546080430376,0.170257568359375
hts_no_temp,1,0.3255352894528153,0.6561433073999494,0.6561433073999494,-0.03128171863297231,0.230377197265625
hts_no_temp,2,0.33980967486122127,0.5521638152052886,0.5521638152052886,-0.07076644639022553,0.205657958984375
hts_no_temp,3,0.3386201427438541,0.6263914487504219,0.6263914487504219,0.0006853099928965957,0.198638916015625
hts_no_temp,4,0.3643933386201427,0.7198246063582283,0.7198246063582283,-0.030618451934178868,0.169158935546875
hts_no_vc,0,0.39571768437747823,0.47775386464525943,0.47775386464525943,-1.0310671615609834e-05,0.4471435546875
hts_no_vc,1,0.32632831086439335,0.41822140060939883,0.41822140060939883,-0.006675248221317222,0.529144287109375
hts_no_vc,2,0.40800951625693893,0.2818298924483924,0.2818298924483924,-0.04503898046269645,0.465667724609375
hts_no_vc,3,0.31443298969072164,0.30204789236003077,0.30204789236003077,0.003947784911681863,0.480926513671875
hts_no_vc,4,0.37906423473433787,0.5448972610376045,0.5448972610376045,-0.02838532118656021,0.4818115234375
hts_no_hier,0,0.5317208564631246,0.782677179219544,0.782677179219544,-0.03158521171230226,0.140533447265625
hts_no_hier,1,0.4877081681205393,0.7715730622723745,0.7715730622723745,-0.02099516092274108,0.195220947265625
hts_no_hier,2,0.5277557494052338,0.7412623757054059,0.7412623757054059,-0.07483449030706439,0.184112548828125
hts_no_hier,3,0.478588421887391,0.7855444588034034,0.7855444588034034,0.0024458485947440154,0.17236328125
hts_no_hier,4,0.5261697065820777,0.833554265927564,0.833554265927564,-0.027357473131508738,0.1319580078125
hts_no_sdyn,0,0.5309278350515464,0.7830623138131361,0.7830623138131361,-0.03214009494914286,0.1400146484375
hts_no_sdyn,1,0.49048374306106274,0.7728029701864053,0.7728029701864053,-0.020350839347480307,0.19775390625
hts_no_sdyn,2,0.5265662172878668,0.736753743126379,0.736753743126379,-0.07427800733686117,0.18524169921875
hts_no_sdyn,3,0.4777954004758128,0.7853971021994715,0.7853971021994715,0.0038683872898249557,0.17254638671875
hts_no_sdyn,4,0.5273592386994449,0.8313245845173061,0.8313245845173061,-0.02801176060974791,0.1331787109375
