method,seed,effective_rank,alive_feature_ratio,dead_feature_ratio,topk_utilization_entropy,active_count_audit
hts_full,0,7.590713103612264,0.999902089436849,9.791056315100466e-05,0.0009428403803648343,7.999908447265625
hts_full,1,7.569567124048869,0.9998881022135416,0.00011189778645837034,0.00252679311372212,7.999725341796875
hts_full,2,7.637511412302653,0.9998963673909506,0.00010363260904944216,0.0020189721627553114,7.999786376953125
hts_full,3,7.592567205429077,0.9998925526936849,0.00010744730631506716,0.0012220078702386008,7.9998779296875
hts_full,4,7.56963833173116,0.9999039967854818,9.600321451819216e-05,0.001758773337830729,7.99981689453125
flat_sae,0,7.6977667808532715,0.9998874664306641,0.0001125335693359375,0.008583751151210685,7.9989013671875
flat_sae,1,7.666125774383545,0.9998963673909506,0.00010363260904944216,0.008375419116459405,7.998931884765625
flat_sae,2,7.759223620096843,0.9998893737792969,0.000110626220703125,0.006891097042624155,7.9991455078125
flat_sae,3,7.66068434715271,0.9998874664306641,0.0001125335693359375,0.006891097042624155,7.9991455078125
flat_sae,4,7.738573710123698,0.9999059041341146,9.409586588537966e-05,0.005576403605532558,7.99932861328125
flat_mh,0,7.693614721298218,0.9999256134033203,7.43865966796875e-05,0.005352752830896412,7.999359130859375
flat_mh,1,7.674295584360759,0.999914805094401,8.519490559899534e-05,0.006019599807934973,7.999267578125
flat_mh,2,7.762452602386475,0.9999173482259115,8.265177408850466e-05,0.005576403605532558,7.99932861328125
flat_mh,3,7.695100625356038,0.9999319712320963,6.802876790368284e-05,0.004901014435132763,7.999420166015625
flat_mh,4,7.72813606262207,0.9999230702718099,7.692972819006716e-05,0.005576403605532558,7.99932861328125
flat_partition_dim_matched,0,7.690130313237508,0.9999370574951172,6.29425048828125e-05,0.003977455856369191,7.999542236328125
flat_partition_dim_matched,1,7.671305576960246,0.9999300638834635,6.993611653649534e-05,0.004442835640995895,7.999481201171875
flat_partition_dim_matched,2,7.761530160903931,0.999932607014974,6.739298502600466e-05,0.0037417742553142548,7.99957275390625
flat_partition_dim_matched,3,7.695238749186198,0.9999179840087891,8.20159912109375e-05,0.004901014435132763,7.999420166015625
