config_name,seed,optimizer_updates,dataset_manifest_hash,parameter_count,status,wall_clock_seconds
recon_trunk_isolated,0,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,280.677
recon_trunk_isolated,1,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,262.988
recon_trunk_isolated,2,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,260.562
recon_trunk_isolated,3,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,254.187
recon_trunk_isolated,4,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,261.921
recon_trunk_isolated_no_z1_grad,0,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,188.494
recon_trunk_isolated_no_z1_grad,1,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,188.123
recon_trunk_isolated_no_z1_grad,2,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,186.266
recon_trunk_isolated_no_z1_grad,3,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,187.006
recon_trunk_isolated_no_z1_grad,4,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,188.283
recon_trunk_isolated_fine_only,0,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,190.919
recon_trunk_isolated_fine_only,1,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,188.919
recon_trunk_isolated_fine_only,2,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,188.389
recon_trunk_isolated_fine_only,3,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,188.819
recon_trunk_isolated_fine_only,4,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,192.88
recon_trunk_isolated_fine_only_x3,0,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,191.376
recon_trunk_isolated_fine_only_x3,1,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,191.482
recon_trunk_isolated_fine_only_x3,2,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,191.362
recon_trunk_isolated_fine_only_x3,3,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,197.19
recon_trunk_isolated_fine_only_x3,4,1000,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,19096,pass,195.631
