method,seed,full_prefix_gain,strict_monotonic_pass,end_to_end_pass,effective_rank,dead_feature_ratio,mean_factor_probe_accuracy,mean_boundary_f1,prefix_nrmse_l1,prefix_nrmse_l2,prefix_nrmse_l3,prefix_nrmse_l4,prefix_nrmse_l5,prefix_nrmse_l6
hts_full,0,-0.006932424887508226,False,False,7.590713103612264,9.791056315100466e-05,0.6027679443359375,0.5309278350515464,1.002658803475883,1.002559565586953,1.0065309368838402,1.0010199202273558,1.0028696508516506,1.0095912283633912
hts_full,1,0.004248760195686319,False,True,7.569567124048869,0.00011189778645837034,0.621063232421875,0.48929421094369546,1.0026407762903606,1.0078459493728587,1.0046435612544835,1.0078681298805359,1.0049298753774873,0.9983920160946743
hts_full,2,0.00028772801990739616,False,True,7.637511412302653,0.00010363260904944216,0.6302947998046875,0.5257731958762886,1.0050611910524205,1.006761048604921,1.0131971956792225,1.0003281711672094,1.0053929266134565,1.0047734630325131
hts_full,3,-0.0018304662789816462,False,False,7.592567205429077,0.00010744730631506716,0.64422607421875,0.47819191118160187,1.0038549602564324,1.006760695130695,1.0036825532027347,1.0002104642499745,1.0035199550588065,1.005685426535414
hts_full,4,-0.006482187092229141,False,False,7.56963833173116,9.600321451819216e-05,0.6774368286132812,0.5265662172878668,1.006837575774835,1.0098526225534667,1.0102759963075751,1.0027320610092072,1.0078179365404536,1.013319762867064
flat_sae,0,-9.747051780029103e-05,False,False,7.6977667808532715,0.0001125335693359375,0.4887847900390625,0.2799365582870738,1.0000149046344784,0.9988943913382783,1.0009535554414373,1.0007875109238062,1.000944718585789,1.0001123751522787
flat_sae,1,-0.0005399318801089237,False,False,7.666125774383545,0.00010363260904944216,0.49990081787109375,0.2117367168913561,1.0005396371228725,1.0014984359607093,0.9996092929602229,1.001940367111679,0.9993527590407538,1.0010795690029815
flat_sae,2,-0.002058457154707094,False,False,7.759223620096843,0.000110626220703125,0.5325241088867188,0.2501982553528945,1.0003085533476703,1.0020118572738734,1.0023058594612912,1.0001630987036998,1.0017750295425,1.0023670105023774
flat_sae,3,0.0009321115337790342,False,True,7.66068434715271,0.0001125335693359375,0.5349502563476562,0.20182394924662964,1.000238918925162,1.0000180859025118,1.0003068743450971,0.9999361682506523,1.0027311773236423,0.9993068073913829
flat_sae,4,-0.005633407107213051,False,False,7.738573710123698,9.409586588537966e-05,0.5787811279296875,0.2204599524187153,1.0008346113644115,1.0010124089000547,1.0042740923198297,1.000755433137803,1.0001589453815452,1.0064680184716246
flat_mh,0,-0.004413744290639343,False,False,7.693614721298218,7.43865966796875e-05,0.5208892822265625,0.3223632038065028,1.0009982699310174,1.0002674619689058,1.0044717727806813,1.0036414618239702,1.0027691758029298,1.0054120142216567
flat_mh,1,-0.002924292271124118,False,False,7.674295584360759,8.519490559899534e-05,0.5249710083007812,0.23195876288659795,1.003073870585682,1.0052185754515162,0.9993577076799168,1.0064376196881946,1.004695610334252,1.0059981628568062
flat_mh,2,-0.011830252130559327,False,False,7.762452602386475,8.265177408850466e-05,0.5607070922851562,0.28350515463917525,1.0016368211201612,1.0052541879797787,1.0083954250570677,1.0071165553076507,1.0066225750769127,1.0134670732507205
