config_name,seed,optimizer_updates,batch_size,sequence_length,parameter_count,dataset_manifest_hash,status,wall_clock_seconds
exact_baseline_shared_trunk,0,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,199.945
exact_baseline_shared_trunk,1,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,185.183
exact_baseline_shared_trunk,2,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,190.669
exact_baseline_shared_trunk,3,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,187.952
exact_baseline_shared_trunk,4,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,187.534
exact_recon_trunk_isolated,0,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,183.383
exact_recon_trunk_isolated,1,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,189.611
exact_recon_trunk_isolated,2,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,188.189
exact_recon_trunk_isolated,3,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,185.725
exact_recon_trunk_isolated,4,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,190.211
exact_no_hier_loss,0,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,194.397
exact_no_hier_loss,1,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,326.785
exact_no_hier_loss,2,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,247.562
exact_no_hier_loss,3,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,203.119
exact_no_hier_loss,4,1000,32,64,19096,5670241265b225d4cdab4e78131192fc24822c8dd4cb5b5617b3364be3dae9eb,pass,206.763
